MCS,ft0,st0,e0,ft1,st1,e1
212,-4.15,40.13672089487932,37.92238485013535,-27.65,40.609494824657844,37.19652008342496
215,-4.15,52.16679008738209,49.35095058301299,-27.65,40.609494824657844,37.19652008342496
220,-4.3,52.16679008738209,49.343450583012995,-28.700000000000003,36.5593603052874,33.296392290023036
224,-0.5499999999999999,52.16679008738209,49.53095058301299,-32.45,33.649735048396735,30.344748295976903
234,-4.3,52.16679008738209,49.343450583012995,-28.700000000000003,39.69379193590097,36.27410233910593
237,-4.3,53.354024743704734,50.471323506519504,-28.700000000000003,39.69379193590097,36.27410233910593
249,-4.3,50.99195620861307,48.227358398182425,-28.700000000000003,39.69379193590097,36.27410233910593
250,-4.3,50.99195620861307,48.227358398182425,-28.699999999999996,37.7662775593232,34.44296368135705
252,-4.3,50.99195620861307,48.227358398182425,-28.699999999999996,39.39759799548259,35.99271809570847
253,-4.3,53.468139452526444,50.57973247990013,-28.699999999999996,39.39759799548259,35.99271809570847
256,-0.8833333333333333,53.468139452526444,50.75056581323346,-2.1166666666666667,39.77574621596626,37.68112557183461
260,-0.8833333333333333,53.468139452526444,50.75056581323346,-1.3166666666666667,36.84620774547412,34.93806402486708
263,-0.8833333333333333,53.468139452526444,50.75056581323346,-1.3166666666666667,36.84620774547412,34.93806402486708
265,-0.8833333333333333,54.01980776262751,51.274650707829466,-1.3166666666666667,36.84620774547412,34.93806402486708
268,-4.3,54.01980776262751,51.10381737449614,-28.699999999999996,36.46805952499045,33.20965654874094
270,-4.3,54.01980776262751,51.10381737449614,-28.699999999999996,36.46805952499045,33.20965654874094
273,-2.6166666666666667,59.53539889823071,56.427795619985844,-37.18333333333333,36.46805952499045,32.785489882074266
276,-2.6166666666666667,59.53539889823071,56.427795619985844,-37.18333333333333,38.3915943317167,34.61284794846421
279,-2.6166666666666667,59.53539889823071,56.427795619985844,-37.18333333333333,38.3915943317167,34.61284794846421
280,-2.6166666666666667,59.53539889823071,56.427795619985844,-36.58333333333333,34.23735126609377,30.696317036122416
298,-2.6166666666666667,59.53539889823071,56.427795619985844,-36.58333333333333,34.23735126609377,30.696317036122416
301,-13.149999999999999,59.96726048162565,56.31139745754437,-41.849999999999994,34.23735126609377,30.432983702789084
304,-13.149999999999999,59.96726048162565,56.31139745754437,-41.849999999999994,29.34831598774823,25.78840018836082
309,-10.883333333333333,55.724494611888375,52.39410321462729,-37.31666666666666,29.34831598774823,26.015066855027488
313,-10.883333333333333,51.79419075326821,48.66031454893813,-37.31666666666666,29.34831598774823,26.015066855027488
317,-10.883333333333333,51.79419075326821,48.66031454893813,-37.31666666666666,29.34831598774823,26.015066855027488
322,-10.883333333333333,51.79419075326821,48.66031454893813,-37.31666666666666,37.43988787623921,33.702060149093924
325,-10.883333333333333,52.60061527758754,49.4264178470415,-37.31666666666666,37.43988787623921,33.702060149093924
336,-10.883333333333333,52.60061527758754,49.4264178470415,-37.31666666666666,39.427411875753954,35.59020794863293
344,-10.883333333333333,52.60061527758754,49.4264178470415,-21.516666666666666,35.6110676243469,32.75468090979622
345,-10.883333333333333,52.82016903928657,49.634993920655575,-21.516666666666666,35.6110676243469,32.75468090979622
346,-10.883333333333333,52.82016903928657,49.634993920655575,-28.316666666666663,39.31220515458218,35.930761563519745
354,-12.583333333333332,52.82016903928657,49.54999392065558,-26.616666666666667,41.07452501753753,37.68996543332733
357,-16.53333333333333,48.90015955467002,45.628484910269854,-38.46666666666667,41.07452501753753,37.09746543332733
358,-16.683333333333334,48.90015955467002,45.620984910269854,-38.31666666666666,49.07737367534796,44.70767165824723
359,-6.15,55.082602884236245,52.02097274002444,-33.05,49.07737367534796,44.971004991580564
361,-14.049999999999999,55.082274203983744,51.62566049378456,-25.15,49.07737367534796,45.36600499158056
362,-14.049999999999999,55.082274203983744,51.62566049378456,-25.15,52.0913172705844,48.22925140705518
365,-14.049999999999999,55.082274203983744,51.62566049378456,-25.15,52.0913172705844,48.22925140705518
