run_id,lambda,seed,fitness,cost,cost_norm,passenger_service,passenger_service_norm,service,service_norm,is_pareto,pareto_label,best_individual,line_edges_count
33,0.4,42,0.40384122983692716,35.49631523929489,0.14419297712454257,1146.8743170374019,0.7691973678112404,1146.8743170374019,0.7691973678112404,False,,"[361, 385, 145, 151, 175, 259]",36
34,0.4,43,0.4270231434176037,39.78249065249258,0.17237451975083642,1232.493903418583,0.8266215855298972,1232.493903418583,0.8266215855298972,True,,"[49, 43, 265, 325, 367, 277]",41
35,0.4,44,0.44732543356959703,30.99744996865996,0.11461300169844038,1225.5301391774735,0.821951057081622,1225.5301391774735,0.821951057081622,True,,"[259, 175, 85, 43, 61, 121]",32
36,0.4,45,0.4270231434176037,39.78249065249258,0.17237451975083642,1232.493903418583,0.8266215855298972,1232.493903418583,0.8266215855298972,True,,"[49, 43, 265, 325, 367, 277]",41
37,0.45,42,0.3581717125901381,35.49631523929489,0.14419297712454257,1146.8743170374019,0.7691973678112404,1146.8743170374019,0.7691973678112404,False,,"[361, 385, 145, 151, 175, 259]",36
38,0.45,43,0.37994912284131216,27.37648220570042,0.09080518994951567,1140.7826440127637,0.765111742397444,1140.7826440127637,0.765111742397444,True,,"[49, 67, 43, 265, 325, 367]",28
39,0.45,44,0.40049723063059395,30.99744996865996,0.11461300169844038,1225.5301391774735,0.821951057081622,1225.5301391774735,0.821951057081622,True,,"[259, 175, 85, 43, 61, 121]",32
40,0.45,45,0.37994912284131216,27.37648220570042,0.09080518994951567,1140.7826440127637,0.765111742397444,1140.7826440127637,0.765111742397444,True,,"[49, 67, 43, 265, 325, 367]",28
41,0.5,42,0.30312437663762265,22.985533478269144,0.06193476426629416,996.2625294944536,0.6681835175415395,996.2625294944536,0.6681835175415395,False,,"[361, 343, 325, 385, 367, 211]",24
42,0.5,43,0.33818764913805266,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
43,0.5,44,0.3536690276915908,30.99744996865996,0.11461300169844038,1225.5301391774735,0.821951057081622,1225.5301391774735,0.821951057081622,True,,"[259, 175, 85, 43, 61, 121]",32
44,0.5,45,0.33818764913805266,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
45,0.55,42,0.27300474514321904,22.89697579810226,0.061352498773653764,1016.3613489341808,0.681663598819397,1016.3613489341808,0.681663598819397,False,,"[367, 325, 265, 85, 127, 109]",23
46,0.55,43,0.297730663352127,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
47,0.55,44,0.30684082475258767,30.99744996865996,0.11461300169844038,1225.5301391774735,0.821951057081622,1225.5301391774735,0.821951057081622,True,,"[259, 175, 85, 43, 61, 121]",32
48,0.55,45,0.297730663352127,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
